Raw venue string,Canonical name,CORE/SJR rank,Source of decision,Note
sport history,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sport history': [SJR:norm_title] Sport in History | [SJR:norm_title] Journal of Sport History / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
sport society,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sport society': [SJR:norm_title] Sport in Society | [SJR:norm_title] International Journal of Sport and Society / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
stem cells,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'stem cells': [SJR:norm_title] Stem Cells | [SJR:norm_title] Stem Cells International | [SJR:norm_title] International Journal of Stem Cells | [SJR:norm_title] Journal of Stem Cells / ranks: SJR Q1 | SJR Q2 | SJR Q2 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
stem education,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'stem education': [SJR:norm_title] International Journal of STEM Education | [SJR:norm_title] STEM Education / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
structural engineering,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'structural engineering': [SJR:norm_title] Journal of Structural Engineering | [SJR:norm_title] Structural Engineering International | [SJR:norm_title] International Journal of Structural Engineering | [SJR:norm_title] Journal of Structural Engineering (India) / ranks: SJR Q1 | SJR Q2 | SJR Q4 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
surgical oncology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'surgical oncology': [SJR:norm_title] Surgical Oncology | [SJR:norm_title] Journal of Surgical Oncology | [SJR:norm_title] International Journal of Surgical Oncology / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
sustainable development,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sustainable development': [SJR:norm_title] Sustainable Development | [SJR:norm_title] International Journal of Sustainable Development / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
theological studies,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'theological studies': [SJR:norm_title] Theological Studies | [SJR:norm_title] Journal of Theological Studies / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
theoria,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'theoria': [SJR:norm_title] Theoria (Sweden) | [SJR:norm_title] Theoria (Spain) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
theory,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'theory': [SJR:norm_title] International Theory | [SJR:norm_title] Theory Workshop / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
tissue engineering regenerative medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'tissue engineering regenerative medicine': [SJR:norm_title] Tissue Engineering and Regenerative Medicine | [SJR:norm_title] Journal of Tissue Engineering and Regenerative Medicine / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
topoi,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'topoi': [SJR:norm_title] Topoi | [SJR:norm_title] Topoi (Brazil) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
tourism research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'tourism research': [SJR:norm_title] International Journal of Tourism Research | [SJR:norm_title] Proceedings of the International Conference on Tourism Research / ranks: SJR Q1 | SJR - / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
tourism review,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'tourism review': [SJR:norm_title] Tourism Review | [SJR:norm_title] Tourism Review International / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
toxicological sciences,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'toxicological sciences': [SJR:norm_title] Toxicological Sciences | [SJR:norm_title] Journal of Toxicological Sciences / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
toxicology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'toxicology': [SJR:norm_title] Toxicology | [SJR:norm_title] Journal of Toxicology | [SJR:norm_title] International Journal of Toxicology | [SJR:norm_title] Toxicology International / ranks: SJR Q1 | SJR Q2 | SJR Q3 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
transfer,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'transfer': [SJR:norm_title] Transfer | [SJR:norm_title] Transfer (Spain) / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
translational medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'translational medicine': [SJR:norm_title] Journal of Translational Medicine | [SJR:norm_title] International Journal of Translational Medicine / ranks: SJR Q1 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
tribology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'tribology': [SJR:norm_title] Tribology International | [SJR:norm_title] Journal of Tribology | [SJR:norm_title] Tribology / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
tropical medicine health,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'tropical medicine health': [SJR:norm_title] Tropical Medicine and International Health | [SJR:norm_title] Tropical Medicine and Health / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
veterinary parasitology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'veterinary parasitology': [SJR:norm_title] Veterinary Parasitology | [SJR:norm_title] Journal of Veterinary Parasitology / ranks: SJR Q1 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
veterinary research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'veterinary research': [SJR:norm_title] Veterinary Research | [SJR:norm_title] Journal of Veterinary Research (Poland) | [SJR:norm_title] Journal of Veterinary Research / ranks: SJR Q1 | SJR Q2 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
virology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'virology': [SJR:norm_title] Journal of Virology | [SJR:norm_title] Virology / ranks: SJR Q1 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
water,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'water': [SJR:norm_title] Water (Switzerland) | [SJR:norm_title] Water International | [SJR:norm_title] International Journal of Water / ranks: SJR Q1 | SJR Q3 | SJR Q4 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
women s health,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'women s health': [SJR:norm_title] Women's Health | [SJR:norm_title] Journal of Women's Health | [SJR:norm_title] International Journal of Women's Health / ranks: SJR Q1 | SJR Q2 | SJR Q1 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
zoology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'zoology': [SJR:norm_title] Journal of Zoology | [SJR:norm_title] Zoology | [SJR:norm_title] International Journal of Zoology / ranks: SJR Q1 | SJR Q2 | SJR Q2 / データ0件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
